"ID","Name","Description","Tags (comma separated)","Options & variants (ex..size,type , color )","Variants (price · availability · photos)","Compare-at price (₹)","Price (₹)","Secondary category (optional)","Category","featured in homepage ?","checkout modes","Weight (grams)","Length (cm)","Breadth (cm)","Height (cm)"
"cmrz4qczt000kiyto1urrrls1","Resin Car Dashboard Idol (Ganesha)","Bring calm to your drive with a compact resin Ganesha dashboard idol that sits securely on your car dashboard. A thoughtful gift for a new car.","car dashboard, dashboard idol, ganesha, car accessory, new car, gift","None","No options variant matrix (Base Product Only) | Price: ₹199 | Stock: 39 | Photos: 3","299","199","","Car Accessories","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qcx1000jiytojotxwlkq","Personalised Resin Ring Platter","An elegant resin ring platter to hold rings, trinkets and small treasures — a favourite for weddings, engagements and dressing tables. Glossy, sturdy and gift-ready.","ring platter, ring plate, trinket tray, wedding, engagement, gift","Size: 8 inch, 10 inch","[Size: 8 inch] -> Price: ₹799 | Available | 5 main photo(s) (EXISTING)
[Size: 10 inch] -> Price: ₹1299 | Available | 5 main photo(s) (EXISTING)","999","799","Wedding Preservation","Tableware & Dining","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qctt000iiyto1hpteimd","Handcrafted Resin Rakhi","A handcrafted resin rakhi that lasts well beyond Raksha Bandhan — set with dried flowers and shimmer in crystal-clear resin. Choose from Evil-Eye, Hanumanji, Brother and Bhai-Bhabhi designs.","rakhi, resin rakhi, raksha bandhan, keepsake, gift","Thread type: normal, bracelet","[Thread type: normal] -> Price: ₹120 | Available | 5 main photo(s) (EXISTING)
[Thread type: bracelet] -> Price: ₹200 | Available | 5 main photo(s) (EXISTING)","199","120","Personalised Gifts","Rakhi Collection","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qcq3000hiytogxwvmxiq","Personalised Rakhi Hamper","Preserve the love of Raksha Bandhan — a curated resin hamper that keeps your rakhi as a lasting keepsake. From a mini hamper to a deluxe set with a 12-inch resin thali.","rakhi hamper, rakhi, raksha bandhan, brother, gift set","Deluxe Hamper combo with Pooja Thali: 4 inch, 8 inch, 12 inch","[Deluxe Hamper combo with Pooja Thali: 4 inch] -> Price: ₹1 | Available | 3 main photo(s) (EXISTING)
[Deluxe Hamper combo with Pooja Thali: 8 inch] -> Price: ₹451 | Available | 3 main photo(s) (EXISTING)
[Deluxe Hamper combo with Pooja Thali: 12 inch] -> Price: ₹1251 | Available | 3 main photo(s) (EXISTING)","298","1","Festive Decor","Rakhi Collection","Yes","Customised Order (pay to owner, non-refundable); Prepaid — Pay Online (full amount); Advance Payment (advance online + COD); Cash on Delivery","200","20","20","5"
"cmrz4qcn8000giytohez4lf7i","Wedding Varmala & Flower Preservation Frame","Immortalise your wedding varmala and special-day blooms in resin — petals from your garland preserved in a stunning frame. Choose your size and full or half preservation. A once-in-a-lifetime memory to cherish forever.","varmala, flower preservation, wedding, garland, keepsake, anniversary","Size: 8 inch (Thick), 14 inch, 16 × 20 inch | Preservation: Full Preservation, Half Preservation","[Size: 8 inch (Thick), Preservation: Full Preservation] -> Price: ₹3000 | Available | 4 main photo(s) (EXISTING)
[Size: 8 inch (Thick), Preservation: Half Preservation] -> Price: ₹1500 | Available | 4 main photo(s) (EXISTING)
[Size: 14 inch, Preservation: Full Preservation] -> Price: ₹5000 | Available | 4 main photo(s) (EXISTING)
[Size: 14 inch, Preservation: Half Preservation] -> Price: ₹3500 | Available | 4 main photo(s) (EXISTING)
[Size: 16 × 20 inch, Preservation: Full Preservation] -> Price: ₹8000 | Available | 4 main photo(s) (EXISTING)
[Size: 16 × 20 inch, Preservation: Half Preservation] -> Price: ₹6500 | Available | 4 main photo(s) (EXISTING)","3500","3000","Personalised Gifts","Wedding Preservation","Yes","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qcky000fiytobr1q8h13","Personalised Resin Brooch","A dainty handcrafted resin brooch that adds a refined touch to sarees, blazers and dupattas. Available as a single piece, a cute pet design, or a 'Mom & Dad To Be' set of two.","brooch, saree brooch, accessory, mom to be, gift, dog tag, pet tag","Type: Single, Pet / Dog Design, Mom & Dad To Be (Set of 2)","[Type: Single] -> Price: ₹200 | Available | 2 main photo(s) (EXISTING)
[Type: Pet / Dog Design] -> Price: ₹200 | Available | 2 main photo(s) (EXISTING)
[Type: Mom & Dad To Be (Set of 2)] -> Price: ₹400 | Available | 2 main photo(s) (EXISTING)","347","200","Personalised Gifts","Fashion Accessories","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qcic000eiyto0nq84u0f","Custom Resin QR Code Frame","A modern personalised resin frame featuring a custom QR code with a light stand — link a wedding invite, a Spotify song or a video message. A unique, memorable keepsake gift.","qr code, qr frame, personalised, wedding, spotify, gift","None","No options variant matrix (Base Product Only) | Price: ₹1199 | Stock: 15 | Photos: 1","1500","1199","Home Decor","Personalised Gifts","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qcfd000diytogw98cjer","Resin Name Keychain","A custom resin keychain with your name, initials or dried flowers set in crystal-clear resin. A charming little keepsake or return gift — personalise it your way.","keychain, name keychain, personalised, return gift, accessory","Type: Standard, Premium","[Type: Standard] -> Price: ₹199 | Available | 3 main photo(s) (EXISTING)
[Type: Premium] -> Price: ₹299 | Available | 3 main photo(s) (EXISTING)","349","199","Fashion Accessories","Personalised Gifts","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qccl000ciyto2tdbdcqf","Flower Photo Frame","A personalised resin frame set with three preserved flowers around your photo, finished on a metal stand. A romantic keepsake for anniversaries and special days.","flower frame, personalised, preserved flowers, anniversary, gift","Size: 10 inch, 12 inch","[Size: 10 inch] -> Price: ₹1200 | Available | 1 main photo(s) (EXISTING)
[Size: 12 inch] -> Price: ₹1500 | Available | 1 main photo(s) (EXISTING)","1499","1200","Wedding Preservation","Personalised Gifts","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
"cmrz4qc9p000biyto4il65udu","Baby Footprint & Newborn Frame","Capture your little one's first footprints or a newborn keepsake in a beautiful 9×11 inch resin frame (Pagli) — a heart-melting memory and a cherished gift for new parents.","baby footprint, pagli, newborn, keepsake, personalised, gift","Type: Baby Footprint (Pagli), Newborn Baby | size: 9 x 11 inch","[Type: Baby Footprint (Pagli), size: 9 x 11 inch] -> Price: ₹1200 | Available | 2 main photo(s) (EXISTING)
[Type: Newborn Baby, size: 9 x 11 inch] -> Price: ₹1200 | Available | 2 main photo(s) (EXISTING)","1499","1200","Home Decor","Personalised Gifts","No","Prepaid — Pay Online (full amount); Cash on Delivery","","","",""
